id_corrida,id_piscina,numero_corrida,fecha_desde,fecha_hasta,fecha_siembra,fecha_pesca,dias_ciclo,dias_secos,cantidad_larvas_sembradas,laboratorio_larvas,laboratorio_nauplio,costo_transferencia,peso_inicial,ultimo_peso_registrado,peso_finca,libras_finca,id_cliente,codigo_larva,estado_ciclo,tipo_proceso,hectareas_corrida,corrida_origen
"BIO1,CP2,BG2-031,04",117,04,2022-10-01,2023-01-06,2022-10-06,2023-01-06,93,5,741400.000000,SIN REFERENCIA,"",4672.500000,0.130000,0.000000,24.100000,24500.000000,,"",Cerrado,ENTERO,3.370000,"(CP2, BG2-201, 10, 74.00%)"
"BIO1,CP2,BG2-202,28",78,28,2024-01-03,2024-03-25,2024-01-03,2024-03-25,1,371,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,,"",Cerrado,,0.000000,""
"BIO2,CP1,BSF-034,05",229,05,2023-01-29,2023-05-29,2023-02-08,2023-05-29,111,10,759600.000000,CORPAQUAR,"",2652.510000,0.000000,0.000000,23.190000,32233.000000,,"",Cerrado,ENTERO,4.220000,"(CP1, BSF-106, 15, 42.00%)"
"BIO2,CP3,BSS-103,09",141,09,2022-07-01,2022-07-26,2022-07-08,2022-07-26,19,7,1100000.000000,SIN REFERENCIA,"",0.000000,0.160000,0.000000,0.000000,0.000000,,"",Cerrado,,0.920000,""
"BIO3,CP2,PL1-105,62",258,62,2026-07-16,,,,8,5,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",1.460000,""
"BIO2,CP5,BSP-102,09",302,09,2026-07-04,,,,20,4,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",0.960000,""
"BIO3,CP2,PL1-032,34",281,34,2026-07-18,,,,6,3,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",2.000000,""
"BIO3,CP2,PL1-008,22",251,22,2026-07-05,,,,19,17,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",6.400000,""
"BIO3,CP2,PL1-051,03",352,03,2026-06-16,,,,38,3,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",4.230000,""
"BIO2,CP4,BA2-201,25",71,25,2025-11-20,,,,246,0,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",2.000000,""
"BIO2,CP4,BA2-042,17",90,17,2025-11-12,,,,254,1,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",11.400000,""
"BIO2,CP1,BSF-022,22",217,22,2026-07-22,,,,2,1,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",7.850000,""
"BIO1,CP1,BG1-101,47",28,47,2026-07-23,,,,1,1,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",1.320000,""
"BIO2,CP1,BSF-012,22",203,22,2026-07-17,,,,7,1,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",5.850000,""
"BIO1,CP2,BG2-202,51",78,51,2026-07-11,,,,13,4,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",1.590000,""
"BIO2,CP4,BA2-203,28",77,28,2025-11-06,,,,260,0,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",2.300000,""
"BIO2,CP4,BA2-207,03",311,03,2025-06-19,,,,400,1,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",0.380000,""
"BIO2,CP4,BA2-043,17",93,17,2025-12-02,,,,234,0,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",8.470000,""
"BIO2,CP1,BSF-009,21",178,21,2026-07-18,,,,6,2,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",7.150000,""
"BIO3,CP3,PL2-009,34",142,34,2026-05-24,,,,61,5,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",1.360000,""
"BIO3,CP2,PL1-020,26",269,26,2026-06-19,,,,35,4,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",5.000000,""
"BIO3,CP2,PL1-101,49",254,49,2026-07-19,,,,5,2,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",1.900000,""
"BIO1,CP1,BG1-004,36",8,36,2026-06-16,,,,38,3,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",2.150000,""
"BIO1,CP2,BG2-025,47",98,47,2026-07-14,,,,10,2,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",2.820000,""
"BIO2,CP4,BA2-048,18",109,18,2025-11-26,,,,240,0,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",2.800000,""
"BIO2,CP5,BSP-104,17",308,17,2026-06-13,,,,41,3,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",1.000000,""
"BIO3,CP1,PJF-102,74",38,74,2026-07-04,,,,20,4,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",1.190000,""
"BIO2,CP3,BSS-022,23",184,23,2026-07-22,,,,2,1,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",2.450000,""
"BIO2,CP6,BCE-104,05",348,05,2026-07-12,,,,12,4,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",1.700000,""
"BIO2,CP5,BSP-103,24",303,24,2026-07-22,,,,2,1,,SIN REFERENCIA,"",0.000000,0.000000,0.000000,0.000000,0.000000,10,"",Abierto,"",1.100000,""
