id,id_corrida,fecha_cosecha,libras_programadas,peso_programado,libras_resumen,peso_resumen,libras_cosechadas,peso_cosechado,balanceado_acumulado_campo,balanceado_acumulado_sistema,total_aireadores,aireadores_ha,uc_totales,tolvas_totales,nivel_agresividad,kilos_promedio,horas_alimentacion,id_piscina,id_sector,codigo_piscina,hectareas,id_empresa,tipo_cosecha,estado
1610,"BIO2,CP1,BSF-007,18",2026-03-13,26000,20.00,25432.000000000,22.78,20700,20.00,14750,0.000,,0.630000000000000,,,,,,171,3,BSF-007,6.33,2,cosecha,PROGRAMADA
1765,"BIO2,CP1,BSF-033,19",2026-04-17,9000,19.00,37603.000000000,21.12,9000,21.00,21350,,,0.890000000000000,,,,,,228,3,BSF-033,6.73,2,raleo,PROGRAMADA
1619,"BIO3,CP2,PL1-023,25",2026-03-16,15000,21.00,13335.000000000,19.50,15950,20.92,9150,,,0.800000000000000,,,,,,272,9,,2.82,3,cosecha,PROGRAMADA
1754,"BIO2,CP1,BSF-027,19",2026-04-16,9000,17.00,36593.000000000,17.41,1400,17.00,16825,,,0.590000000000000,,,,,,222,3,BSF-027,6.81,2,raleo,PROGRAMADA
1763,"BIO1,CP2,BG2-026,20",2026-04-18,20000,15.00,24187.000000000,15.00,7700,16.00,10725,,,0.940000000000000,,,,,,101,2,BG2-026,6.36,1,cosecha,PROGRAMADA
1617,"BIO2,CP3,BSS-014,19",2026-03-16,23000,17.00,22712.000000000,17.00,23750,17.00,15775,,,0.590000000000000,,,,,,159,5,BSS-014,5.05,2,cosecha,PROGRAMADA
1632,"BIO2,CP5,BSP-012,16",2026-03-22,44000,17.00,43069.000000000,16.50,36500,17.00,26450,,,0.950000000000000,,,,,,202,7,BSP-012,7.40,2,cosecha,PROGRAMADA
1633,"BIO2,CP2,BA1-001,20",2026-03-24,33000,22.00,37006.000000000,22.00,31800,22.00,22775,,,0.520000000000000,,,,,,1,4,,7.63,2,cosecha,PROGRAMADA
1764,"BIO1,CP2,BG2-044,05",2026-04-21,43000,24.00,50646.000000000,25.50,47100,24.00,24475,,,1.100000000000000,,,,,,316,2,BG2-044,8.19,1,cosecha,PROGRAMADA
1631,"BIO2,CP2,BA1-008,19",2026-03-25,30000,23.00,31960.000000000,23.00,24100,23.00,20575,,,0.700000000000000,,,,,,21,4,BA1-008,5.73,2,cosecha,PROGRAMADA
1629,"BIO2,CP3,BSS-009,19",2026-03-25,26000,18.00,23728.000000000,18.01,26050,17.69,14450,,,0.960000000000000,,,,,,130,5,BSS-009,4.15,2,cosecha,PROGRAMADA
1630,"BIO1,CP2,BG2-023,19",2026-03-25,63000,20.00,66602.000000000,20.10,64800,20.00,33400,,,0.900000000000000,,,,,,92,2,BG2-023,10.02,1,cosecha,PROGRAMADA
1618,"BIO2,CP2,BA1-028,20",2023-03-16,26000,18.00,25296.000000000,19.00,19200,19.00,16425,,,0.360000000000000,,,,,,70,4,BA1-028,5.49,2,cosecha,PROGRAMADA
2030,"BIO2,CP3,BSS-021,22",2026-05-30,4600,18.00,16002.000000000,18.54,4600,18.70,9075,,,0.690000000000000,,,,,,181,5,,2.90,2,raleo,PROGRAMADA
1753,"BIO2,CP5,BSP-001,17",2026-04-18,23000,23.00,22899.000000000,23.50,23650,21.34,15875,,,1.180000000000000,,,,,,164,7,BSP-001,3.40,2,cosecha,PROGRAMADA
1995,"BIO3,CP3,PL2-012,33",2026-05-18,6500,22.00,6120.000000000,21.90,7400,22.21,4335,,,0.510000000000000,,,,,,160,10,,1.95,3,cosecha,PROGRAMADA
1603,"BIO1,CP1,BG1-009,21",2026-03-13,25000,24.00,23333.486400000,24.00,28750,24.00,17450,0.000,,1.020000000000000,,,,,,22,1,BG1-009,4.90,1,cosecha,PROGRAMADA
1453,"BIO1,CP1,BG1-016,19",2026-02-02,55000,17.00,52139.627748000,16.20,52800,17.00,30875,30875.000,,0.890000000000000,,,,,,49,1,BG1-016,11.23,1,cosecha,PROGRAMADA
1604,"BIO1,CP2,BG2-031,20",2026-03-12,20000,20.00,20802.605600000,20.00,18550,20.50,12025,0.000,,1.190000000000000,,,,,,117,2,BG2-031,3.37,1,cosecha,PROGRAMADA
1611,"BIO1,CP2,BG2-033,20",2026-03-14,35000,22.00,32639.103000000,23.50,29800,24.00,18925,0.000,,1.290000000000000,,,,,,122,2,BG2-033,7.00,1,cosecha,PROGRAMADA
1502,"BIO2,CP1,BSF-011,19",2026-02-18,42000,20.00,43299.926902800,21.27,44200,21.30,25825,25825.000,,0.580000000000000,,,,,,200,3,BSF-011,6.84,2,cosecha,PROGRAMADA
1758,"BIO2,CP2,BA1-005,21",2026-04-18,40000,18.00,37662.000000000,18.80,33600,19.00,26475,,,0.900000000000000,,,,,,12,4,BA1-005,6.99,2,cosecha,PROGRAMADA
1757,"BIO2,CP3,BSS-011,19",2026-04-18,6400,12.00,25030.000000000,12.82,6400,12.75,17800,,,1.020000000000000,,,,,,150,5,BSS-011,4.92,2,raleo,PROGRAMADA
1756,"BIO2,CP3,BSS-029,20",2026-04-18,6400,12.00,20017.000000000,12.01,6500,13.27,10050,,,0.600000000000000,,,,,,204,5,BSS-029,5.04,2,raleo,PROGRAMADA
1761,"BIO3,CP3,PL2-003,20",2026-04-18,3000,14.00,20840.000000000,13.79,2450,16.73,12300,,,0.800000000000000,,,,,,123,10,PL2-003,4.57,3,raleo,PROGRAMADA
1759,"BIO2,CP6,BCE-005,01",2026-04-18,23000,17.00,23411.000000000,17.00,21500,16.80,12350,,,1.240000000000000,,,,,,330,12,BCE-005,4.03,2,cosecha,PROGRAMADA
1760,"BIO3,CP2,PL1-027,20",2026-04-18,9000,12.00,35250.000000000,12.69,8100,12.05,17425,,,0.800000000000000,,,,,,276,9,PL1-027,7.00,3,raleo,PROGRAMADA
1834,"BIO2,CP3,BSS-037,19",2026-05-04,8000,18.00,29851.000000000,17.70,7200,18.40,19125,,,1.180000000000000,,,,,,237,5,,4.25,2,raleo,PROGRAMADA
1997,"BIO2,CP1,BSF-024,20",2026-05-18,8000,13.00,27308.000000000,17.00,7650,13.77,19275,,,0.780000000000000,,,,,,219,3,,7.67,2,raleo,PROGRAMADA
1762,"BIO1,CP2,BG2-028,20",2026-04-18,35000,15.00,44676.000000000,15.30,14950,14.50,23300,,,0.910000000000000,,,,,,107,2,BG2-028,8.83,1,cosecha,PROGRAMADA
1832,"BIO2,CP1,BSF-031,20",2026-05-03,12000,12.00,36221.000000000,10.97,11960,12.00,20575,,,0.640000000000000,,,,,,226,3,,7.76,2,raleo,PROGRAMADA
1755,"BIO2,CP1,BSF-028,20",2026-04-16,9000,17.00,35350.000000000,17.84,8700,17.00,17425,,,0.930000000000000,,,,,,223,3,BSF-028,6.42,2,raleo,PROGRAMADA
1836,"BIO1,CP1,BG1-008,21",2026-05-04,52000,23.00,53483.000000000,21.70,52150,23.00,31875,,,1.170000000000000,,,,,,19,1,,7.71,1,cosecha,PROGRAMADA
1766,"BIO2,CP1,BSF-015,20",2026-04-12,7000,15.00,39090.000000000,15.16,4500,12.50,22200,,,0.730000000000000,,,,,,210,3,BSF-015,6.88,2,raleo,PROGRAMADA
2191,"BIO2,CP6,BCE-008,02",2026-06-28,25000,23.00,21859.000000000,22.70,26600,23.50,14335,,,0.300000000000000,,,,,,333,12,,6.72,2,cosecha,PROGRAMADA
2281,"BIO2,CP6,BCE-004,02",2026-07-24,40000,22.00,35776.000000000,22.00,36500,22.00,17825,,,0.900000000000000,,,,,,329,12,,6.83,2,cosecha,PROGRAMADA
2278,"BIO2,CP3,BSS-010,21",2026-07-23,15000,22.00,14729.000000000,22.51,13350,22.55,10125,,,0.800000000000000,,,,,,132,5,,2.65,2,cosecha,PROGRAMADA
2282,"BIO1,CP1,BG1-017,22",2026-07-24,10000,16.00,41024.000000000,17.00,9900,16.50,16500,,,1.000000000000000,,,,,,51,1,,8.42,1,raleo,PROGRAMADA
2274,"BIO2,CP1,BSF-022,21",2026-07-21,40000,26.00,39629.000000000,26.94,36700,27.50,24671,,,0.800000000000000,,,,,,217,3,,7.85,2,cosecha,PROGRAMADA
1264,"BIO2,CP1,BSF-013,17",2025-12-15,48000,21.00,44795.000000000,20.23,47270,21.00,26250,26250.000,,0.600000000000000,,,,,,206,3,BSF-013,8.37,2,cosecha,PROGRAMADA
1835,"BIO3,CP3,PL2-013,21",2026-05-04,23000,14.00,26178.000000000,16.00,22100,17.33,16325,,,0.800000000000000,,,,,,163,10,,6.51,3,cosecha,PROGRAMADA
1620,"BIO2,CP3,BSS-012,19",2026-03-17,28000,19.00,27556.000000000,18.60,23100,18.00,14200,,,0.180000000000000,,,,,,154,5,BSS-012,5.60,2,cosecha,PROGRAMADA
1634,"BIO3,CP1,PJF-016,18",2026-03-28,28000,22.00,29789.000000000,22.00,30050,22.00,19325,,,0.950000000000000,,,,,,57,8,PJF-016,7.40,3,cosecha,PROGRAMADA
1609,"BIO3,CP3,PL2-013,20",2026-03-14,35000,22.00,41047.000000000,22.00,19900,23.00,21475,0.000,,0.600000000000000,,,,,,163,10,PL2-013,6.51,3,cosecha,PROGRAMADA
1996,"BIO3,CP2,PL1-035,21",2026-05-19,5000,11.00,5576.000000000,9.65,2800,11.07,5075,,,0.690000000000000,,,,,,284,9,,2.88,3,cosecha,PROGRAMADA
2031,"BIO2,CP2,BA1-040,22",2026-05-29,11000,24.00,11205.000000000,23.53,9750,24.00,5800,,,1.110000000000000,,,,,,103,4,,1.80,2,cosecha,PROGRAMADA
2192,"BIO1,CP1,BG1-007,22",2026-06-28,16000,18.00,54742.000000000,15.95,16000,18.00,26750,,,0.990000000000000,,,,,,16,1,,11.12,1,raleo,PROGRAMADA
2279,"BIO2,CP1,BSF-020,20",2026-07-22,40000,29.00,39544.000000000,28.87,36350,30.50,22236,,,0.800000000000000,,,,,,215,3,,6.54,2,cosecha,PROGRAMADA
1768,"BIO2,CP2,BA1-035,20",2026-04-18,13000,19.00,10688.000000000,19.20,12100,19.00,8700,,,0.600000000000000,,,,,,88,4,BA1-035,5.05,2,cosecha,PROGRAMADA
1767,"BIO2,CP5,BSP-005,34",2026-04-18,17000,20.00,15609.000000000,20.00,11500,17.00,12900,,,1.360000000000000,,,,,,176,7,BSP-005,2.95,2,cosecha,PROGRAMADA
