id,id_empresa,id_sector,codigo_piscina,hectareaje,descripcion,id_organizacion,estado
1,2,4,BA1-001,7.63,PISCINA 01,1,activa
2,1,1,BG1-002,2.53,PISCINA 02,1,activa
3,3,8,PJF-001,8.40,PISCINA 01,1,activa
4,2,4,BA1-002,7.05,PISCINA 02,1,activa
5,1,1,BG1-003,6.99,PISCINA 03,1,activa
6,2,4,BA1-003,5.57,PISCINA 03,1,activa
7,3,8,PJF-002,9.08,PISCINA 02,1,activa
8,1,1,BG1-004,2.15,PISCINA 04,1,activa
9,2,4,BA1-004,3.54,PISCINA 04,1,activa
10,3,8,PJF-003,8.83,PISCINA 03,1,activa
11,1,1,BG1-005,8.68,PISCINA 05,1,activa
12,2,4,BA1-005,6.99,PISCINA 05,1,activa
13,1,1,BG1-006,5.11,PISCINA 06,1,activa
14,3,8,PJF-004,8.95,PISCINA 04,1,activa
15,2,4,BA1-006,4.26,PISCINA 06,1,activa
16,1,1,BG1-007,11.12,PISCINA 07,1,activa
17,3,8,PJF-005,10.65,PISCINA 05,1,activa
18,2,4,BA1-007,3.02,PISCINA 07,1,activa
19,1,1,BG1-008,7.71,PISCINA 08,1,activa
20,3,8,PJF-006,6.12,PISCINA 06,1,activa
21,2,4,BA1-008,5.73,PISCINA 08,1,activa
22,1,1,BG1-009,4.90,PISCINA 09,1,activa
23,3,8,PJF-007,5.91,PISCINA 07,1,activa
24,2,4,BA1-009,3.08,PISCINA 09,1,activa
25,1,1,BG1-010,7.21,PISCINA 10,1,activa
26,3,8,PJF-008,9.66,PISCINA 08,1,activa
27,2,4,BA1-010,3.01,PISCINA 10,1,activa
28,1,1,BG1-101,1.32,PISCINA 101,1,activa
29,3,8,PJF-009,6.03,PISCINA 09,1,activa
30,2,4,BA1-101,1.76,PRE 101,1,activa
31,1,1,BG1-103,2.14,PRE 103,1,activa
32,3,8,PJF-010,6.79,PISCINA 10,1,activa
33,2,4,BA1-102,1.80,PRE 102,1,activa
34,1,1,BG1-011,10.77,PISCINA 11,1,activa
35,3,8,PJF-101,1.00,PRE 101,1,activa
36,2,4,BA1-103,1.71,PRE 103,1,activa
37,1,1,BG1-012,7.75,PISCINA 12,1,activa
38,3,8,PJF-102,1.19,PRE 102,1,activa
39,2,4,BA1-104,1.82,PRE 104,1,activa
40,1,1,BG1-013,2.75,PISCINA 13,1,activa
41,2,4,BA1-011,2.82,PISCINA 11,1,activa
42,3,8,PJF-011,6.69,PISCINA 11,1,activa
43,1,1,BG1-014,4.09,PISCINA 14,1,activa
44,2,4,BA1-012,4.54,PISCINA 12,1,activa
45,3,8,PJF-012,6.83,PISCINA 012,1,activa
46,1,1,BG1-015,6.75,PISCINA 15,1,activa
47,2,4,BA1-013,4.71,PISCINA 13,1,activa
48,3,8,PJF-013,5.90,PISCINA 13,1,activa
49,1,1,BG1-016,11.23,PISCINA 16,1,activa
50,2,4,BA1-014,7.25,PISCINA 14,1,activa
51,1,1,BG1-017,8.42,PISCINA 17,1,activa
52,3,8,PJF-014,7.68,PISCINA 14,1,activa
53,2,4,BA1-015,4.06,PISCINA 15,1,activa
54,1,1,BG1-102,1.12,PRE 102,1,activa
55,3,8,PJF-015,7.74,PISCINA 15,1,activa
56,2,4,BA1-016,6.76,PISCINA 16,1,activa
57,3,8,PJF-016,7.40,PISCINA 16,1,activa
58,2,4,BA1-017,4.60,PISCINA 17,1,activa
59,3,8,PJF-017,7.56,PISCINA 17,1,activa
60,2,4,BA1-018,6.28,PISCINA 18,1,activa
61,2,4,BA1-019,3.08,PISCINA 19,1,activa
62,2,4,BA1-020,4.55,PISCINA 20,1,activa
63,2,4,BA1-021,3.54,PISCINA 21,1,activa
64,2,4,BA1-022,4.67,PISCINA 22,1,activa
65,2,4,BA1-023,2.98,PISCINA 23,1,activa
66,2,4,BA1-024,4.30,PISCINA 24,1,activa
67,2,4,BA1-025,4.67,PISCINA 25,1,activa
68,2,4,BA1-026,4.91,PISCINA 26,1,activa
69,2,4,BA1-027,4.92,PISCINA 27,1,activa
70,2,4,BA1-028,5.49,PISCINA 28,1,activa
72,2,4,BA1-029,6.34,PISCINA 29,1,activa
73,2,4,BA1-030,6.98,PISCINA 30,1,activa
75,1,2,BG2-201,1.54,PRE 201,1,activa
76,2,4,BA1-031,3.53,PISCINA 31,1,activa
78,1,2,BG2-202,1.59,PRE 202,1,activa
79,2,4,BA1-032,5.39,PISCINA 32,1,activa
81,1,2,BG2-203,1.72,PRE 203,1,activa
82,2,4,BA1-033,5.05,PISCINA 33,1,activa
84,2,4,BA1-034,6.81,PISCINA 34,1,activa
86,1,2,BG2-021,7.52,PISCINA 21,1,activa
88,2,4,BA1-035,5.05,PISCINA 35,1,activa
89,1,2,BG2-022,8.90,PISCINA 22,1,activa
91,2,4,BA1-036,2.87,PISCINA 36,1,activa
92,1,2,BG2-023,10.02,PISCINA 23,1,activa
94,2,4,BA1-037,2.38,PISCINA 37,1,activa
95,1,2,BG2-024,7.91,PISCINA 24,1,activa
97,2,4,BA1-038,2.60,PISCINA 38,1,activa
98,1,2,BG2-025,2.82,PISCINA 25,1,activa
100,2,4,BA1-039,3.12,PISCINA 39,1,activa
101,1,2,BG2-026,6.36,PISCINA 26,1,activa
103,2,4,BA1-040,1.80,PISCINA 40,1,activa
104,1,2,BG2-027,6.47,PISCINA 27,1,activa
105,2,5,BSS-001,6.81,PISCINA 01,1,activa
107,1,2,BG2-028,8.83,PISCINA 28,1,activa
108,2,5,BSS-002,5.64,PISCINA 02,1,activa
90,2,6,BA2-042,11.40,PISCINA 42,1,inactiva
96,2,6,BA2-044,11.30,PISCINA 44,1,inactiva
102,2,6,BA2-046,10.50,PISCINA 46,1,inactiva
106,2,6,BA2-047,7.44,PISCINA 47,1,inactiva
109,2,6,BA2-048,2.80,PISCINA 48,1,inactiva
74,2,6,BA2-202,2.72,PRE 202,1,inactiva
77,2,6,BA2-203,2.30,PRE 203,1,inactiva
80,2,6,BA2-204,1.32,PISCINA 204,1,inactiva
83,2,6,BA2-205,0.46,PISCINA 205,1,inactiva
99,2,6,BA2-045,10.00,PISCINA 45 -,1,inactiva
110,1,2,BG2-029,7.99,PISCINA 29,1,activa
111,2,5,BSS-003,2.94,PISCINA 03,1,activa
113,1,2,BG2-030,7.32,PISCINA 30,1,activa
114,2,5,BSS-004,1.20,PISCINA 04,1,activa
116,3,10,PL2-001,2.01,PISCINA 01,1,activa
117,1,2,BG2-031,3.37,PISCINA 31,1,activa
118,2,5,BSS-005,4.87,PISCINA 05,1,activa
119,1,2,BG2-032,9.69,PISCINA 32,1,activa
120,3,10,PL2-002,5.73,PISCINA 02,1,activa
121,2,5,BSS-006,4.86,PISCINA 06,1,activa
122,1,2,BG2-033,7.00,PISCINA 33,1,activa
123,3,10,PL2-003,4.57,PISCINA 03,1,activa
124,2,5,BSS-007,3.35,PISCINA 07,1,activa
125,1,2,BG2-034,8.61,PISCINA 34,1,activa
126,3,10,PL2-004,6.40,PISCINA 04,1,activa
127,2,5,BSS-008,5.32,PISCINA 08,1,activa
128,1,2,BG2-035,3.80,PISCINA 35,1,activa
129,3,10,PL2-005,6.13,PISCINA 05,1,activa
130,2,5,BSS-009,4.15,PISCINA 09,1,activa
131,1,2,BG2-036,5.20,PISCINA 36,1,activa
132,2,5,BSS-010,2.65,PISCINA 10,1,activa
133,3,10,PL2-006,12.14,PISCINA 06,1,activa
134,1,2,BG2-037,5.34,PISCINA 37,1,activa
135,2,5,BSS-101,0.69,PRE 101,1,activa
136,3,10,PL2-007,5.37,PISCINA 07,1,activa
137,1,2,BG2-038,5.74,PISCINA 38,1,activa
138,2,5,BSS-102,0.73,PRE 102,1,activa
139,3,10,PL2-008,17.00,PISCINA 08,1,activa
140,1,2,BG2-039,5.86,PISCINA 39,1,activa
141,2,5,BSS-103,0.92,PRE 103,1,activa
142,3,10,PL2-009,1.36,PISCINA 09,1,activa
143,1,2,BG2-040,6.38,PISCINA 40,1,activa
144,2,5,BSS-104,0.61,PRE 104,1,activa
145,3,10,PL2-010,5.19,PISCINA 10,1,activa
146,1,2,BG2-041,6.38,PISCINA 41,1,activa
147,2,5,BSS-105,1.01,PRE 105,1,activa
148,3,10,PL2-101,2.52,PRE 101,1,activa
149,1,2,BG2-042,6.62,PISCINA 42,1,activa
150,2,5,BSS-011,4.92,PISCINA 11,1,activa
151,1,2,BG2-020,2.05,PRE 20,1,activa
152,3,10,PL2-102,1.36,PRE 102,1,activa
153,2,3,BSF-001,6.48,PISCINA 01,1,activa
154,2,5,BSS-012,5.60,PISCINA 12,1,activa
155,2,3,BSF-002,6.45,PISCINA 02,1,activa
156,3,10,PL2-011,6.44,PISCINA 11,1,activa
157,2,5,BSS-013,4.62,PISCINA 13,1,activa
158,2,3,BSF-003,6.03,PISCINA 03,1,activa
