peso_promedio,precio_entero_usd_libra,precio_cola_d_usd_libra,diferencia_cola_vs_entero,mejor_valor_comercial
40.00,1.62,1.52,-0.10,ENTERO
39.00,1.60,1.52,-0.08,ENTERO
38.00,1.58,1.52,-0.06,ENTERO
37.00,1.56,1.51,-0.05,ENTERO
36.00,1.54,1.50,-0.04,ENTERO
35.00,1.52,1.49,-0.04,ENTERO
34.00,1.50,1.47,-0.03,ENTERO
33.00,1.48,1.46,-0.02,ENTERO
32.00,1.46,1.45,-0.01,ENTERO
31.00,1.44,1.44,-0.01,ENTERO
30.00,1.42,1.42,0.00,COLA
29.00,1.40,1.42,0.02,COLA
28.00,1.36,1.41,0.05,COLA
27.00,1.32,1.41,0.09,COLA
26.00,1.28,1.40,0.12,COLA
25.00,1.24,1.40,0.16,COLA
24.00,1.20,1.39,0.19,COLA
23.00,1.16,1.35,0.18,COLA
22.00,1.14,1.30,0.16,COLA
21.00,1.13,1.26,0.13,COLA
20.00,1.12,1.25,0.13,COLA
19.00,1.11,1.24,0.13,COLA
18.00,1.10,1.22,0.13,COLA
17.00,1.07,1.21,0.15,COLA
16.00,1.04,1.20,0.17,COLA
15.00,1.01,1.19,0.18,COLA
14.00,0.99,1.15,0.15,COLA
13.00,0.98,1.10,0.12,COLA
12.00,0.93,1.06,0.13,COLA
11.00,0.87,1.02,0.15,COLA
10.00,0.02,,,IGUAL
