id,codigo_piscina,horario,fecha,estado,tipo_sobrante,sobrante_kilo,m_viejo,m_rojo,m_fresco,suelo_danado,muda,oxigeno_bajo,observacion,id_corrida,id_sector,heces,balanceado_en_tolva
1,PJF-001,AM,2025-07-16,,0,225.00,1.0,0.0,0.0,false,false,false,CERO BALANCEADO,"BIO3,CP1,PJF-001,15",8,false,false
2,PJF-002,AM,2025-07-16,,0,200.00,2.0,0.0,0.0,false,false,false,CERO BALANCEADO,"BIO3,CP1,PJF-002,16",8,false,false
3,PJF-004,AM,2025-07-16,,0,200.00,3.0,0.0,0.0,false,false,false,CERO BALANCEADO,"BIO3,CP1,PJF-004,15",8,false,false
4,PJF-005,AM,2025-07-16,,0,150.00,0.0,0.0,0.0,false,false,false,SOLO LODO,"BIO3,CP1,PJF-005,15",8,false,false
5,PJF-007,AM,2025-07-16,,0,0.00,0.0,0.0,0.0,false,false,false,SOLO LODO,"BIO3,CP1,PJF-007,16",8,false,false
6,PJF-008,AM,2025-07-16,,0,75.00,0.0,0.0,0.0,false,false,false,SOLO LODO,"BIO3,CP1,PJF-008,15",8,false,false
7,PJF-009,AM,2025-07-16,,0,50.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-009,16",8,false,false
8,PJF-010,AM,2025-07-16,,0,125.00,2.0,0.0,0.0,false,false,false,CERO BALANCEADO,"BIO3,CP1,PJF-010,15",8,false,false
9,PJF-013,AM,2025-07-16,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-013,16",8,false,false
10,PJF-014,AM,2025-07-16,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-014,16",8,false,false
11,PJF-015,AM,2025-07-16,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-015,16",8,false,false
12,PJF-016,AM,2025-07-16,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-016,15",8,false,false
13,PJF-017,AM,2025-07-16,,0,0.00,1.0,0.0,0.0,false,false,false,CERO BALANCEADO,"BIO3,CP1,PJF-017,15",8,false,false
14,PJF-101,AM,2025-07-16,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-101,61",8,false,false
15,BA1-001,AM,2025-07-18,,0,75.00,0.0,0.0,2.0,false,false,false,,"BIO2,CP2,BA1-001,17",4,false,false
16,BA1-002,AM,2025-07-18,,0,125.00,0.0,0.0,2.0,false,false,false,"equipos se quedan sin comunicar, se les realizo cambio de bateria ","BIO2,CP2,BA1-002,16",4,false,false
17,BA1-003,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-003,17",4,false,false
18,BA1-006,AM,2025-07-18,,0,75.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-006,17",4,false,false
19,BA1-007,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-007,17",4,false,false
20,BA1-008,AM,2025-07-18,,0,75.00,0.0,2.0,0.0,false,false,false,,"BIO2,CP2,BA1-008,16",4,false,false
21,BA1-010,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-010,16",4,false,false
22,BA1-014,AM,2025-07-18,,0,75.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-014,16",4,false,false
23,BA1-015,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-015,16",4,false,false
24,BA1-019,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-019,16",4,false,false
25,BA1-021,AM,2025-07-18,,0,50.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-021,16",4,false,false
26,BA1-024,AM,2025-07-18,,4,200.00,0.0,0.0,0.0,false,false,false,"para el dia de mañana se le habilitara dos equipos mas, para mermar el sobrante ","BIO2,CP2,BA1-024,16",4,false,false
27,BA1-025,AM,2025-07-18,,0,150.00,0.0,0.0,0.0,false,false,false,"equipos operativos, trabajan todas sus horas normales sin novedad ","BIO2,CP2,BA1-025,16",4,false,false
28,BA1-026,AM,2025-07-18,,0,100.00,0.0,0.0,0.0,false,false,false,hoy se le habilito un equipo mas dejandola operativa con todas sus tolvas ,"BIO2,CP2,BA1-026,16",4,false,false
29,BA1-028,AM,2025-07-18,,0,50.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-028,16",4,false,false
30,BA1-029,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-029,16",4,false,false
31,BA1-030,AM,2025-07-18,,0,150.00,0.0,0.0,0.0,false,false,false,se habilitara dos equipos mas a esta piscina dejandola operativa con todas sus tolvas ,"BIO2,CP2,BA1-030,16",4,false,false
32,BA1-032,AM,2025-07-18,,2,125.00,0.0,0.0,0.0,false,false,false,se le hara el respectivo seguimiento piscina en Timer con sobrante ,"BIO2,CP2,BA1-032,16",4,false,false
33,BA1-033,AM,2025-07-18,,4,125.00,0.0,2.0,0.0,false,false,false,"esta piscina hoy trabajo con todos sus equipos, esperando que el dia de mañana se merme los sobrantes ","BIO2,CP2,BA1-033,16",4,false,false
34,BA1-034,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-034,16",4,false,false
35,BA1-035,AM,2025-07-18,,0,100.00,0.0,0.0,0.0,false,false,false,se realizara el mantenimiento el dia de mañana para dejarla operativa con todas sus tolvas ,"BIO2,CP2,BA1-035,16",4,false,false
36,BA1-036,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-036,17",4,false,false
37,BA1-037,AM,2025-07-18,,0,50.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-037,17",4,false,false
38,BA1-001,PM,2025-07-18,,0,0.00,0.0,0.0,1.0,false,false,false,,"BIO2,CP2,BA1-001,17",4,false,false
39,BA1-015,PM,2025-07-18,,0,0.00,0.0,2.0,0.0,false,false,false,,"BIO2,CP2,BA1-015,16",4,false,false
40,BA1-024,PM,2025-07-18,,0,0.00,0.0,1.0,0.0,false,false,false,,"BIO2,CP2,BA1-024,16",4,false,false
41,BA1-026,PM,2025-07-18,,0,0.00,0.0,2.0,0.0,false,false,false,,"BIO2,CP2,BA1-026,16",4,false,false
42,BA1-040,PM,2025-07-18,,0,0.00,0.0,1.0,0.0,false,false,false,,"BIO2,CP2,BA1-040,17",4,false,false
43,BSS-001,AM,2025-07-18,,0,250.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-001,16",5,false,false
44,BSS-005,AM,2025-07-18,,0,125.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-005,15",5,false,false
